Date,Model,Revenue,Quantity Sold,Region,Country,Channel,Engine Type,Cost,Payment Method,Gross Revenue,Total Cost,Net Profit,Percentage of Net Profit
2019-01-10 00:00:00,BMW 8 Series,68568,3,North America,Canada,Wholesale,Gasoline,49021.98364,Bank Transfer,205704,147065.9509,58638.04908,85.51809748
2019-01-11 00:00:00,BMW M4,118264,2,Europe,France,Wholesale,Gasoline,60000,Bank Transfer,236528,120000,116528,98.53209768
2019-01-12 00:00:00,BMW X1,78586,3,Europe,Spain,Wholesale,Gasoline,37000,Bank Transfer,235758,111000,124758,158.7534675
2019-01-12 00:00:00,BMW M4,44063,4,North America,Mexico,Wholesale,Gasoline,60000,Bank Transfer,176252,240000,-63748,-144.6746704
2019-01-12 00:00:00,BMW 2 Series,82810,4,South America,Argentina,Dealership,Gasoline,49021.98364,Cash,331240,196087.9346,135152.0654,163.2074211
2019-01-13 00:00:00,BMW M4,99626,2,Asia,Japan,Wholesale,Gasoline,58000,Bank Transfer,199252,116000,83252,83.56453135
2019-01-13 00:00:00,BMW X5,118393,1,North America,United States,Wholesale,Diesel,49021.98364,Bank Transfer,118393,49021.98364,69371.01636,58.5938496
2019-01-14 00:00:00,BMW i4,93737,3,Asia,China,Dealership,Gasoline,49021.98364,Cash,281211,147065.9509,134145.0491,143.1078966
2019-01-15 00:00:00,BMW M8,101997,1,South America,Colombia,Wholesale,Gasoline,37000,Bank Transfer,101997,37000,64997,63.72442327
2019-01-15 00:00:00,BMW X1,107838,4,Africa,Kenya,Dealership,Gasoline,55000,Cash,431352,220000,211352,195.9902817
2019-01-15 00:00:00,BMW 6 Series,53877,4,Asia,South Korea,Dealership,Hybrid,49021.98364,Cash,215508,196087.9346,19420.06544,36.04518707
2019-01-16 00:00:00,BMW iX,73420,5,South America,Brazil,Wholesale,Gasoline,50000,Bank Transfer,367100,250000,117100,159.4933261
2019-01-16 00:00:00,BMW M2,112782,5,South America,Peru,Dealership,Gasoline,49021.98364,Cash,563910,245109.9182,318800.0818,282.6692928
2019-01-16 00:00:00,BMW iX,100875,1,Asia,China,Wholesale,Gasoline,49021.98364,Bank Transfer,100875,49021.98364,51853.01636,51.40323803
2019-01-16 00:00:00,BMW i8,55094,5,Asia,India,Dealership,Gasoline,49021.98364,Cash,275470,245109.9182,30360.0818,55.10596762
2019-01-17 00:00:00,BMW X6,104500,2,Europe,Spain,Wholesale,Gasoline,49021.98364,Bank Transfer,209000,98043.96728,110956.0327,106.1780217
2019-01-17 00:00:00,BMW M3,60373,1,South America,Colombia,Wholesale,Gasoline,49021.98364,Bank Transfer,60373,49021.98364,11351.01636,18.80147808
2019-01-17 00:00:00,BMW 8 Series,53898,5,Africa,Egypt,Wholesale,Gasoline,49021.98364,Bank Transfer,269490,245109.9182,24380.0818,45.23374114
2019-01-17 00:00:00,BMW 2 Series,77937,5,South America,Brazil,Dealership,Gasoline,45000,Cash,389685,225000,164685,211.305285
2019-01-18 00:00:00,BMW i3,66388,2,Asia,China,Wholesale,Electric,49021.98364,Bank Transfer,132776,98043.96728,34732.03272,52.31673302
2019-01-18 00:00:00,BMW 5 Series,118627,2,North America,Mexico,Dealership,Gasoline,49021.98364,Cash,237254,98043.96728,139210.0327,117.3510522
2019-01-18 00:00:00,BMW 5 Series,112462,1,Africa,Egypt,Wholesale,Gasoline,45000,Bank Transfer,112462,45000,67462,59.98648432
2019-01-19 00:00:00,BMW Z4,64030,3,Africa,Egypt,Dealership,Gasoline,49021.98364,Cash,192090,147065.9509,45024.04908,70.31711554
2019-01-19 00:00:00,BMW i3,91913,2,South America,Argentina,Wholesale,Electric,49021.98364,Bank Transfer,183826,98043.96728,85782.03272,93.32959725
2019-01-19 00:00:00,BMW 5 Series,53184,5,North America,Mexico,Dealership,Gasoline,49021.98364,Cash,265920,245109.9182,20810.0818,39.12846307
2019-01-19 00:00:00,BMW 2 Series,76721,1,Asia,Japan,Wholesale,Gasoline,45000,Bank Transfer,76721,45000,31721,41.34591572
2019-01-19 00:00:00,BMW 4 Series,103236,3,Asia,Japan,Wholesale,Gasoline,45000,Bank Transfer,309708,135000,174708,169.2316634
2019-01-20 00:00:00,BMW i3,72296,1,Europe,Italy,Dealership,Electric,55000,Cash,72296,55000,17296,23.92386854
2019-01-20 00:00:00,BMW M4,34286,5,South America,Chile,Dealership,Gasoline,49021.98364,Cash,171430,245109.9182,-73679.9182,-214.8979706
2019-01-21 00:00:00,BMW i3,117156,3,South America,Colombia,Wholesale,Electric,49021.98364,Bank Transfer,351468,147065.9509,204402.0491,174.4699794
2019-01-21 00:00:00,BMW M8,73639,3,North America,Canada,Wholesale,Gasoline,55000,Bank Transfer,220917,165000,55917,75.93394804
2019-01-21 00:00:00,BMW 6 Series,60431,2,South America,Argentina,Wholesale,Hybrid,70000,Bank Transfer,120862,140000,-19138,-31.66917642
2019-01-21 00:00:00,BMW M5,92363,4,Africa,Egypt,Dealership,Gasoline,48945,Cash,369452,195780,173672,188.0320042
2019-01-21 00:00:00,BMW iX3,45072,5,Europe,Germany,Wholesale,Gasoline,55000,Bank Transfer,225360,275000,-49640,-110.1348953
2019-01-21 00:00:00,BMW 6 Series,40916,4,Africa,South Africa,Wholesale,Hybrid,49021.98364,Bank Transfer,163664,196087.9346,-32423.93456,-79.24512308
2019-01-22 00:00:00,BMW 7 Series,77369,5,South America,Colombia,Wholesale,Gasoline,58000,Bank Transfer,386845,290000,96845,125.1728729
2019-01-22 00:00:00,BMW iX3,48946,1,North America,United States,Wholesale,Gasoline,49021.98364,Bank Transfer,48946,49021.98364,-75.98364,-0.155239734
2019-01-23 00:00:00,BMW 6 Series,51863,4,South America,Peru,Dealership,Hybrid,37000,Cash,207452,148000,59452,114.6327825
2019-01-23 00:00:00,BMW Z4,90064,3,Europe,Germany,Wholesale,Gasoline,50000,Bank Transfer,270192,150000,120192,133.4517676
2019-01-24 00:00:00,BMW X5,90656,2,Europe,France,Wholesale,Diesel,49021.98364,Bank Transfer,181312,98043.96728,83268.03272,91.85054792
2019-01-24 00:00:00,BMW M8,53545,5,Europe,United Kingdom,Wholesale,Gasoline,50000,Bank Transfer,267725,250000,17725,33.10299748
2019-01-24 00:00:00,BMW X1,54019,2,Africa,Kenya,Wholesale,Gasoline,70000,Bank Transfer,108038,140000,-31962,-59.16807049
2019-01-25 00:00:00,BMW M2,86625,5,Europe,Germany,Dealership,Gasoline,35000,Cash,433125,175000,258125,297.979798
2019-01-26 00:00:00,BMW 5 Series,81701,3,North America,United States,Wholesale,Gasoline,50000,Bank Transfer,245103,150000,95103,116.403716
2019-01-27 00:00:00,BMW M2,57386,3,South America,Brazil,Wholesale,Gasoline,49021.98364,Bank Transfer,172158,147065.9509,25092.04908,43.72503586
2019-01-28 00:00:00,BMW 7 Series,105769,3,Asia,India,Dealership,Gasoline,49021.98364,Cash,317307,147065.9509,170241.0491,160.9555249
2019-01-28 00:00:00,BMW X2,47822,3,Africa,Kenya,Wholesale,Gasoline,45000,Bank Transfer,143466,135000,8466,17.70314918
2019-01-28 00:00:00,BMW M2,105462,3,South America,Brazil,Wholesale,Gasoline,49021.98364,Bank Transfer,316386,147065.9509,169320.0491,160.5507662
2019-01-28 00:00:00,BMW M5,70023,2,Europe,United Kingdom,Wholesale,Gasoline,49021.98364,Bank Transfer,140046,98043.96728,42002.03272,59.98319512
2019-01-28 00:00:00,BMW M3,85878,1,Europe,France,Wholesale,Gasoline,35000,Bank Transfer,85878,35000,50878,59.24450965
2019-01-29 00:00:00,BMW i3,77984,4,South America,Argentina,Wholesale,Electric,49021.98364,Bank Transfer,311936,196087.9346,115848.0654,148.5536334
2019-01-29 00:00:00,BMW 5 Series,86577,2,North America,Canada,Wholesale,Gasoline,32750,Bank Transfer,173154,65500,107654,124.3448029
2019-01-29 00:00:00,BMW X4,106369,4,Africa,Egypt,Dealership,Gasoline,60000,Cash,425476,240000,185476,174.3703523
2019-01-29 00:00:00,BMW X2,80929,1,South America,Brazil,Dealership,Gasoline,37000,Cash,80929,37000,43929,54.2809129
2019-01-30 00:00:00,BMW iX3,57081,5,Asia,China,Wholesale,Gasoline,49021.98364,Bank Transfer,285405,245109.9182,40295.0818,70.59280987
2019-01-30 00:00:00,BMW X3,32751,1,Africa,Nigeria,Dealership,Hybrid,35000,Cash,32751,35000,-2249,-6.866965894
2019-01-31 00:00:00,BMW M4,70194,1,Africa,Egypt,Dealership,Gasoline,58000,Cash,70194,58000,12194,17.37185514
2019-01-31 00:00:00,BMW X1,88479,5,Africa,Kenya,Dealership,Gasoline,49021.98364,Cash,442395,245109.9182,197285.0818,222.9739054
2019-01-31 00:00:00,BMW 4 Series,56953,4,Africa,Kenya,Wholesale,Gasoline,48113,Bank Transfer,227812,192452,35360,62.08628167
2019-01-31 00:00:00,BMW X2,48642,3,Asia,China,Wholesale,Gasoline,49021.98364,Bank Transfer,145926,147065.9509,-1139.95092,-2.343552732
2019-01-31 00:00:00,BMW X5,81176,5,Asia,Japan,Wholesale,Diesel,49021.98364,Bank Transfer,405880,245109.9182,160770.0818,198.0512489
2019-01-31 00:00:00,BMW X7,51863,5,North America,Mexico,Wholesale,Gasoline,55000,Bank Transfer,259315,275000,-15685,-30.24314058
2019-01-31 00:00:00,BMW i4,48114,1,Europe,France,Dealership,Gasoline,49021.98364,Cash,48114,49021.98364,-907.98364,-1.887150601
2019-02-01 00:00:00,BMW X5,86843,5,Africa,Morocco,Dealership,Diesel,58000,Cash,434215,290000,144215,166.0640466
2019-02-01 00:00:00,BMW i4,72563,2,Europe,Spain,Wholesale,Gasoline,40000,Bank Transfer,145126,80000,65126,89.75097501
2019-02-01 00:00:00,BMW 4 Series,60373,3,Europe,United Kingdom,Wholesale,Gasoline,58000,Bank Transfer,181119,174000,7119,11.79169496
2019-02-01 00:00:00,BMW 6 Series,108104,1,Europe,Spain,Wholesale,Hybrid,49021.98364,Bank Transfer,108104,49021.98364,59082.01636,54.65294194
2019-02-01 00:00:00,BMW X4,94746,4,Asia,South Korea,Wholesale,Gasoline,49021.98364,Bank Transfer,378984,196087.9346,182896.0654,193.0382976
2019-02-01 00:00:00,BMW X5,116973,4,North America,United States,Dealership,Diesel,49021.98364,Cash,467892,196087.9346,271804.0654,232.3647897
2019-02-02 00:00:00,BMW 3 Series,77470,4,South America,Brazil,Wholesale,Gasoline,49021.98364,Bank Transfer,309880,196087.9346,113792.0654,146.8853304
2019-02-02 00:00:00,BMW X5,75760,4,Asia,China,Dealership,Diesel,42000,Cash,303040,168000,135040,178.2470961
2019-02-03 00:00:00,BMW X3,109449,4,Africa,Kenya,Wholesale,Hybrid,60000,Bank Transfer,437796,240000,197796,180.7197873
2019-02-03 00:00:00,BMW 1 Series,73884,1,Asia,India,Wholesale,Gasoline,49021.98364,Bank Transfer,73884,49021.98364,24862.01636,33.65006816
2019-02-03 00:00:00,BMW 5 Series,35565,2,Europe,United Kingdom,Wholesale,Gasoline,49021.98364,Bank Transfer,71130,98043.96728,-26913.96728,-75.67543169
2019-02-03 00:00:00,BMW iX3,116488,2,Africa,South Africa,Wholesale,Gasoline,45000,Bank Transfer,232976,90000,142976,122.7388229
2019-02-03 00:00:00,BMW X6,107554,4,Asia,Japan,Wholesale,Gasoline,42000,Bank Transfer,430216,168000,262216,243.7993938
2019-02-04 00:00:00,BMW 5 Series,51340,2,South America,Argentina,Wholesale,Gasoline,35000,Bank Transfer,102680,70000,32680,63.6540709
2019-02-04 00:00:00,BMW X3,108651,3,South America,Peru,Wholesale,Hybrid,49021.98364,Bank Transfer,325953,147065.9509,178887.0491,164.6437208
2019-02-05 00:00:00,BMW M4,61772,2,South America,Chile,Dealership,Gasoline,37000,Cash,123544,74000,49544,80.20462345
2019-02-06 00:00:00,BMW 4 Series,112888,5,North America,Canada,Dealership,Gasoline,49021.98364,Cash,564440,245109.9182,319330.0818,282.8733628
2019-02-06 00:00:00,BMW 7 Series,88975,4,Asia,Japan,Dealership,Gasoline,58000,Cash,355900,232000,123900,139.252599
2019-02-06 00:00:00,BMW i4,111344,5,Europe,France,Wholesale,Gasoline,49021.98364,Bank Transfer,556720,245109.9182,311610.0818,279.8624819
2019-02-07 00:00:00,BMW i3,36918,5,Asia,India,Wholesale,Electric,53485,Bank Transfer,184590,267425,-82835,-224.3756433
2019-02-07 00:00:00,BMW X3,80711,4,South America,Brazil,Dealership,Hybrid,49021.98364,Cash,322844,196087.9346,126756.0654,157.0493061
2019-02-07 00:00:00,BMW X2,60070,1,North America,Mexico,Dealership,Gasoline,60000,Cash,60070,60000,70,0.116530714
2019-02-07 00:00:00,BMW 4 Series,43366,2,North America,United States,Wholesale,Gasoline,60000,Bank Transfer,86732,120000,-33268,-76.71447678
2019-02-08 00:00:00,BMW X1,39200,3,Asia,China,Dealership,Gasoline,49021.98364,Cash,117600,147065.9509,-29465.95092,-75.16824214
2019-02-08 00:00:00,BMW M3,89151,1,Asia,Japan,Dealership,Gasoline,45000,Cash,89151,45000,44151,49.52384157
2019-02-08 00:00:00,BMW X5,53226,3,Africa,Morocco,Wholesale,Diesel,49021.98364,Bank Transfer,159678,147065.9509,12612.04908,23.69527877
2019-02-08 00:00:00,BMW X5,116891,4,Asia,Thailand,Wholesale,Diesel,49021.98364,Bank Transfer,467564,196087.9346,271476.0654,232.2471922
2019-02-08 00:00:00,BMW Z4,90085,2,Europe,Germany,Wholesale,Gasoline,49021.98364,Bank Transfer,180170,98043.96728,82126.03272,91.16504714
2019-02-08 00:00:00,BMW M4,53486,1,Europe,United Kingdom,Dealership,Gasoline,49021.98364,Cash,53486,49021.98364,4464.01636,8.34613985
2019-02-09 00:00:00,BMW iX,34700,4,Europe,Germany,Wholesale,Gasoline,49021.98364,Bank Transfer,138800,196087.9346,-57287.93456,-165.0949123
2019-02-09 00:00:00,BMW M4,111863,1,Asia,South Korea,Dealership,Gasoline,49021.98364,Cash,111863,49021.98364,62841.01636,56.17676654
2019-02-09 00:00:00,BMW M4,37988,5,South America,Colombia,Wholesale,Gasoline,60000,Bank Transfer,189940,300000,-110060,-289.7230704
2019-02-10 00:00:00,BMW 7 Series,31634,2,Africa,South Africa,Wholesale,Gasoline,35000,Bank Transfer,63268,70000,-6732,-21.2809003
2019-02-10 00:00:00,BMW 4 Series,94052,2,South America,Argentina,Wholesale,Gasoline,42000,Bank Transfer,188104,84000,104104,110.6877047
2019-02-10 00:00:00,BMW i3,73352,4,Europe,United Kingdom,Wholesale,Electric,49021.98364,Bank Transfer,293408,196087.9346,97320.06544,132.6754082
2019-02-11 00:00:00,BMW X6,90634,4,Asia,India,Dealership,Gasoline,50000,Cash,362536,200000,162536,179.3322594
2019-02-11 00:00:00,BMW X7,75939,4,Africa,Morocco,Wholesale,Gasoline,49021.98364,Bank Transfer,303756,196087.9346,107668.0654,141.7823061
2019-02-11 00:00:00,BMW i8,95327,2,Europe,Germany,Dealership,Gasoline,49021.98364,Cash,190654,98043.96728,92610.03272,97.14984498
2019-02-13 00:00:00,BMW X4,117498,5,South America,Peru,Dealership,Gasoline,70000,Cash,587490,350000,237490,202.1225893
2019-02-13 00:00:00,BMW iX3,100938,2,Europe,Spain,Wholesale,Gasoline,70000,Bank Transfer,201876,140000,61876,61.30099665
2019-02-13 00:00:00,BMW i8,36900,4,North America,Canada,Wholesale,Gasoline,49021.98364,Bank Transfer,147600,196087.9346,-48487.93456,-131.4036167
2019-02-14 00:00:00,BMW M4,49332,3,Africa,South Africa,Wholesale,Gasoline,37000,Bank Transfer,147996,111000,36996,74.99391875
2019-02-14 00:00:00,BMW X2,100672,5,Asia,China,Wholesale,Gasoline,40000,Bank Transfer,503360,200000,303360,301.3350286
2019-02-15 00:00:00,BMW X3,101627,2,North America,Canada,Wholesale,Hybrid,70000,Bank Transfer,203254,140000,63254,62.2413335
2019-02-15 00:00:00,BMW 7 Series,98203,3,South America,Brazil,Dealership,Gasoline,49021.98364,Cash,294609,147065.9509,147543.0491,150.2429142
2019-02-15 00:00:00,BMW 8 Series,118499,5,Asia,Japan,Dealership,Gasoline,49021.98364,Cash,592495,245109.9182,347385.0818,293.1544416
2019-02-15 00:00:00,BMW M2,85943,2,Asia,Japan,Wholesale,Gasoline,49021.98364,Bank Transfer,171886,98043.96728,73842.03272,85.91977557
2019-02-16 00:00:00,BMW 1 Series,36221,4,South America,Brazil,Dealership,Gasoline,49021.98364,Cash,144884,196087.9346,-51203.93456,-141.3653255
2019-02-16 00:00:00,BMW M3,51788,2,North America,Canada,Wholesale,Gasoline,58000,Bank Transfer,103576,116000,-12424,-23.99011354
2019-02-16 00:00:00,BMW 7 Series,59350,5,Asia,Thailand,Wholesale,Gasoline,49021.98364,Bank Transfer,296750,245109.9182,51640.0818,87.00940489
2019-02-17 00:00:00,BMW 7 Series,43264,4,Africa,Nigeria,Wholesale,Gasoline,49021.98364,Bank Transfer,173056,196087.9346,-23031.93456,-53.23579549
2019-02-17 00:00:00,BMW i4,60816,1,North America,United States,Wholesale,Gasoline,49021.98364,Bank Transfer,60816,49021.98364,11794.01636,19.39294982
2019-02-17 00:00:00,BMW X1,37426,3,South America,Peru,Wholesale,Gasoline,60000,Bank Transfer,112278,180000,-67722,-180.9490728
2019-02-18 00:00:00,BMW 3 Series,44287,4,Europe,Spain,Dealership,Gasoline,49021.98364,Cash,177148,196087.9346,-18939.93456,-42.76635256
2019-02-18 00:00:00,BMW 7 Series,119622,4,Asia,India,Wholesale,Gasoline,49021.98364,Bank Transfer,478488,196087.9346,282400.0654,236.0770305
2019-02-18 00:00:00,BMW X6,78659,5,Asia,India,Dealership,Gasoline,49021.98364,Cash,393295,245109.9182,148185.0818,188.3892267
2019-02-19 00:00:00,BMW X6,91852,5,Africa,Nigeria,Wholesale,Gasoline,49021.98364,Bank Transfer,459260,245109.9182,214150.0818,233.1468904
2019-02-19 00:00:00,BMW iX3,42583,3,Europe,Germany,Wholesale,Gasoline,58000,Bank Transfer,127749,174000,-46251,-108.6137661
2019-02-19 00:00:00,BMW i8,67455,5,Europe,United Kingdom,Wholesale,Gasoline,49021.98364,Bank Transfer,337275,245109.9182,92165.0818,136.6319499
2019-02-19 00:00:00,BMW X4,102454,4,Asia,India,Wholesale,Gasoline,58000,Bank Transfer,409816,232000,177816,173.5569133
2019-02-19 00:00:00,BMW X5,113401,3,Europe,Italy,Wholesale,Diesel,55000,Bank Transfer,340203,165000,175203,154.4986376
2019-02-20 00:00:00,BMW i8,63314,3,South America,Colombia,Wholesale,Gasoline,35000,Bank Transfer,189942,105000,84942,134.1599014
2019-02-20 00:00:00,BMW i8,42134,2,Europe,United Kingdom,Dealership,Gasoline,60000,Cash,84268,120000,-35732,-84.80562016
2019-02-20 00:00:00,BMW i8,67525,4,Africa,Kenya,Wholesale,Gasoline,49021.98364,Bank Transfer,270100,196087.9346,74012.06544,109.6069092
2019-02-20 00:00:00,BMW M4,90345,4,Africa,Morocco,Wholesale,Gasoline,49021.98364,Bank Transfer,361380,196087.9346,165292.0654,182.9565172
2019-02-21 00:00:00,BMW 2 Series,63617,5,North America,Mexico,Wholesale,Gasoline,49021.98364,Bank Transfer,318085,245109.9182,72975.0818,114.7100332
2019-02-21 00:00:00,BMW 2 Series,93444,4,Europe,United Kingdom,Wholesale,Gasoline,49021.98364,Bank Transfer,373776,196087.9346,177688.0654,190.1546011
2019-02-21 00:00:00,BMW X6,113489,5,Africa,Kenya,Wholesale,Gasoline,49021.98364,Bank Transfer,567445,245109.9182,322335.0818,284.0231933
2019-02-21 00:00:00,BMW i4,36487,4,Europe,Italy,Wholesale,Gasoline,49021.98364,Bank Transfer,145948,196087.9346,-50139.93456,-137.4186273
2019-02-22 00:00:00,BMW M8,84890,2,Europe,Spain,Wholesale,Gasoline,34162,Bank Transfer,169780,68324,101456,119.514666
2019-02-22 00:00:00,BMW X5,86865,4,Asia,Japan,Wholesale,Diesel,49021.98364,Bank Transfer,347460,196087.9346,151372.0654,174.2612853
2019-02-22 00:00:00,BMW iX3,76295,2,Africa,Nigeria,Wholesale,Gasoline,49021.98364,Bank Transfer,152590,98043.96728,54546.03272,71.49358768
2019-02-23 00:00:00,BMW X5,117702,4,Asia,China,Wholesale,Diesel,49021.98364,Bank Transfer,470808,196087.9346,274720.0654,233.4030564
2019-02-24 00:00:00,BMW 6 Series,80294,4,Asia,Thailand,Wholesale,Hybrid,35000,Bank Transfer,321176,140000,181176,225.6407702
2019-02-24 00:00:00,BMW X2,108959,1,North America,Mexico,Wholesale,Gasoline,49021.98364,Bank Transfer,108959,49021.98364,59937.01636,55.00877978
2019-02-24 00:00:00,BMW M4,106844,4,Africa,Nigeria,Dealership,Gasoline,40000,Cash,427376,160000,267376,250.2489611
2019-02-25 00:00:00,BMW 5 Series,81564,2,North America,Mexico,Wholesale,Gasoline,49021.98364,Bank Transfer,163128,98043.96728,65084.03272,79.79504772
2019-02-25 00:00:00,BMW X4,35804,3,South America,Chile,Dealership,Gasoline,49021.98364,Cash,107412,147065.9509,-39653.95092,-110.7528514
2019-02-26 00:00:00,BMW X6,78643,2,Africa,Kenya,Wholesale,Gasoline,49021.98364,Bank Transfer,157286,98043.96728,59242.03272,75.33033165
2019-02-27 00:00:00,BMW 2 Series,119063,4,North America,Mexico,Dealership,Gasoline,49021.98364,Cash,476252,196087.9346,280164.0654,235.3074133
2019-02-27 00:00:00,BMW i8,64635,5,South America,Argentina,Wholesale,Gasoline,70000,Bank Transfer,323175,350000,-26825,-41.50228205
2019-02-27 00:00:00,BMW 8 Series,43068,1,South America,Colombia,Wholesale,Gasoline,49021.98364,Bank Transfer,43068,49021.98364,-5953.98364,-13.82461141
2019-02-28 00:00:00,BMW X6,92306,5,Africa,Morocco,Wholesale,Gasoline,49021.98364,Bank Transfer,461530,245109.9182,216420.0818,234.459387
2019-02-28 00:00:00,BMW X4,97639,1,Asia,India,Wholesale,Gasoline,49021.98364,Bank Transfer,97639,49021.98364,48617.01636,49.79262012
2019-02-28 00:00:00,BMW X5,34163,1,North America,Canada,Dealership,Diesel,49021.98364,Cash,34163,49021.98364,-14858.98364,-43.4943759
2019-03-02 00:00:00,BMW Z4,65169,5,North America,Canada,Wholesale,Gasoline,45000,Bank Transfer,325845,225000,100845,154.7438199
2019-03-02 00:00:00,BMW X6,46515,4,Africa,Nigeria,Wholesale,Gasoline,70000,Bank Transfer,186060,280000,-93940,-201.9563582
2019-03-03 00:00:00,BMW 4 Series,101533,2,Africa,Kenya,Dealership,Gasoline,50000,Cash,203066,100000,103066,101.5098539
2019-03-03 00:00:00,BMW X2,89432,5,North America,United States,Wholesale,Gasoline,45000,Bank Transfer,447160,225000,222160,248.4122014
2019-03-03 00:00:00,BMW Z4,115343,3,South America,Argentina,Wholesale,Gasoline,70000,Bank Transfer,346029,210000,136029,117.934335
2019-03-04 00:00:00,BMW 3 Series,114463,1,Africa,Morocco,Wholesale,Gasoline,49021.98364,Bank Transfer,114463,49021.98364,65441.01636,57.17220094
2019-03-04 00:00:00,BMW iX,97741,2,South America,Peru,Wholesale,Gasoline,49021.98364,Bank Transfer,195482,98043.96728,97438.03272,99.69003051
2019-03-04 00:00:00,BMW 5 Series,109517,3,Asia,China,Dealership,Gasoline,55000,Cash,328551,165000,163551,149.3384589
2019-03-04 00:00:00,BMW X7,72018,2,North America,Canada,Wholesale,Gasoline,49021.98364,Bank Transfer,144036,98043.96728,45992.03272,63.86185776
2019-03-05 00:00:00,BMW i4,92546,4,North America,Canada,Dealership,Gasoline,42000,Cash,370184,168000,202184,218.4686534
2019-03-05 00:00:00,BMW 6 Series,110490,3,North America,Canada,Dealership,Hybrid,35000,Cash,331470,105000,226470,204.9687755
2019-03-05 00:00:00,BMW 7 Series,106167,5,Europe,Germany,Dealership,Gasoline,49021.98364,Cash,530835,245109.9182,285725.0818,269.1279605
2019-03-06 00:00:00,BMW X4,107179,2,South America,Argentina,Dealership,Gasoline,49021.98364,Cash,214358,98043.96728,116314.0327,108.5231554
2019-03-07 00:00:00,BMW 8 Series,59292,5,North America,Canada,Wholesale,Gasoline,49021.98364,Bank Transfer,296460,245109.9182,51350.0818,86.60541355
2019-03-07 00:00:00,BMW Z4,88990,5,Africa,South Africa,Wholesale,Gasoline,42000,Bank Transfer,444950,210000,234950,264.018429
2019-03-07 00:00:00,BMW 4 Series,58949,2,Europe,Italy,Dealership,Gasoline,45013,Cash,117898,90026,27872,47.28154846
2019-03-07 00:00:00,BMW i3,86964,2,Africa,Kenya,Dealership,Electric,49021.98364,Cash,173928,98043.96728,75884.03272,87.25913334
2019-03-08 00:00:00,BMW 7 Series,97541,1,Africa,Kenya,Dealership,Gasoline,58000,Cash,97541,58000,39541,40.53782512
2019-03-08 00:00:00,BMW M2,97419,1,Europe,France,Wholesale,Gasoline,49021.98364,Bank Transfer,97419,49021.98364,48397.01636,49.67923748
2019-03-08 00:00:00,BMW 2 Series,64527,3,Africa,South Africa,Dealership,Gasoline,37586,Cash,193581,112758,80823,125.2545446
2019-03-08 00:00:00,BMW i3,58385,3,South America,Argentina,Wholesale,Electric,64228,Bank Transfer,175155,192684,-17529,-30.02312238
